date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads,start_type
2025-05-07,20:49:38,whisper-tiny_en-ubuntu_harvard_gpu_hyperparam_cold_aa60686e,43,2.07,18.356,1.131,20.7659,0.0000,0.0000,0.0000,1.0000,0.0000,3,cold
2025-05-07,20:49:38,whisper-tiny_en-ubuntu_harvard_gpu_hyperparam_warm_5625149a,,NA,18.356,1.111,20.4006,NA,NA,NA,NA,NA,3,warm
2025-05-07,20:49:38,whisper-tiny_en-ubuntu_harvard_gpu_basic_warm_70586f43,,NA,18.356,1.162,21.3361,NA,NA,NA,NA,NA,3,warm
2025-05-07,20:49:39,whisper-tiny_en-ubuntu_harvard_gpu_basic_cold_31bfd136,,NA,18.356,1.206,22.1362,NA,NA,NA,NA,NA,3,cold
2025-05-07,20:49:58,whisper-tiny_en-ubuntu_harvard_cpu_basic_cold_31ab1c82,43,1.07,18.356,2.182,40.0492,0.0000,0.0000,0.0000,1.0000,0.0000,3,cold
2025-05-07,20:50:00,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_warm_fa01d485,,NA,930.142,0.023,21.2622,NA,NA,NA,NA,NA,3,warm
2025-05-07,20:50:02,whisper-tiny_en-ubuntu_harvard_cpu_hyperparam_warm_cd12ef4a,43,0.96,18.356,2.428,44.5682,0.0000,0.0000,0.0000,1.0000,0.0000,3,warm
2025-05-07,20:50:03,whisper-tiny_en-ubuntu_harvard_cpu_hyperparam_cold_63861e5b,,NA,18.356,2.494,45.781,NA,NA,NA,NA,NA,3,cold
2025-05-07,20:50:04,whisper-tiny_en-ubuntu_harvard_cpu_basic_warm_80d2722d,43,0.91,18.356,2.566,47.0929,0.0000,0.0000,0.0000,1.0000,0.0000,3,warm
2025-05-07,20:50:13,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_basic_cold_f1cecb30,,NA,1107.122,0.008,8.64994,NA,NA,NA,NA,NA,3,cold
2025-05-07,20:50:23,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_basic_warm_5a1f73b5,,NA,1107.122,0.009,9.43163,NA,NA,NA,NA,NA,3,warm
2025-05-07,20:50:34,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_hyperparam_cold_77ab7aa9,,NA,1107.122,0.010,10.5516,NA,NA,NA,NA,NA,3,cold
2025-05-07,20:50:44,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_hyperparam_warm_dd8e333f,,NA,1107.122,0.008,9.32242,NA,NA,NA,NA,NA,3,warm
2025-05-07,20:52:09,whisper-base_en-ubuntu_harvard_cpu_basic_cold_0ebffc76,43,0.51,18.356,4.562,83.7388,0.0000,0.0000,0.0000,1.0000,0.0000,3,cold
2025-05-07,20:52:34,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_basic_cold_450712a4,1434,8.17,930.142,0.189,175.433,0.2201,0.2072,0.3012,0.6988,0.0831,3,cold
2025-05-07,20:52:38,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_cold_25e9a582,1434,8.03,930.142,0.192,178.471,0.2201,0.2072,0.3012,0.6988,0.0831,3,cold
2025-05-07,20:52:39,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_basic_warm_48b230f2,,NA,930.142,0.194,180.197,NA,NA,NA,NA,NA,3,warm
2025-05-07,20:52:59,whisper-base_en-ubuntu_harvard_cpu_basic_warm_059a2170,43,0.88,18.356,2.657,48.7639,0.0000,0.0000,0.0000,1.0000,0.0000,3,warm
2025-05-07,20:53:08,whisper-base_en-ubuntu_harvard_gpu_basic_cold_5e0d8a18,43,1.53,18.356,1.536,28.1872,0.0000,0.0000,0.0000,1.0000,0.0000,3,cold
2025-05-07,20:53:29,whisper-base_en-ubuntu_harvard_gpu_basic_warm_fa0b15c4,43,1.47,18.356,1.596,29.2881,0.0000,0.0000,0.0000,1.0000,0.0000,3,warm
2025-05-07,20:53:34,whisper-base_en-ubuntu_harvard_gpu_hyperparam_cold_484f6fc8,43,1.73,18.356,1.351,24.798,0.0000,0.0000,0.0000,1.0000,0.0000,3,cold
2025-05-07,20:53:34,whisper-base_en-ubuntu_harvard_cpu_hyperparam_warm_6c0ec343,43,0.78,18.356,3.020,55.4353,0.0000,0.0000,0.0000,1.0000,0.0000,3,warm
2025-05-07,20:53:35,whisper-base_en-ubuntu_harvard_cpu_hyperparam_cold_d0c9b65d,,NA,18.356,3.276,60.1378,NA,NA,NA,NA,NA,3,cold
2025-05-07,20:53:59,whisper-base_en-ubuntu_harvard_gpu_hyperparam_warm_365bbc17,43,1.49,18.356,1.572,28.8632,0.0000,0.0000,0.0000,1.0000,0.0000,3,warm
2025-05-07,21:18:13,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_hyperparam_warm_082c73ab,1447,0.83,930.142,1.866,1735.68,0.2720,0.2553,0.3705,0.6295,0.0974,3,warm
2025-05-07,21:18:53,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_basic_warm_6d4493cc,1505,0.85,930.142,1.909,1775.91,0.3125,0.2826,0.3951,0.6049,0.1358,3,warm
2025-05-07,21:19:13,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_hyperparam_cold_888b3af9,1476,0.82,930.142,1.929,1794.09,0.2923,0.2692,0.3830,0.6170,0.1193,3,cold
2025-05-07,21:19:37,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_cold_4659f43b,,NA,930.142,0.026,24.0468,NA,NA,NA,NA,NA,3,cold
2025-05-07,21:19:44,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_basic_cold_6f18b2d3,1435,0.79,930.142,1.964,1827.11,0.2637,0.2495,0.3653,0.6347,0.0917,3,cold
2025-05-07,21:19:53,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_basic_cold_fa8dfd46,1434,14.44,930.142,0.107,99.3051,0.2201,0.2072,0.3012,0.6988,0.0831,3,cold
2025-05-07,21:20:57,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_basic_warm_a0af3275,1434,11.67,930.142,0.132,122.917,0.2201,0.2072,0.3012,0.6988,0.0831,3,warm
2025-05-07,21:21:23,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_warm_c62b63f6,1434,13.66,930.142,0.113,104.946,0.2201,0.2072,0.3012,0.6988,0.0831,3,warm
2025-05-07,21:23:44,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_basic_warm_2a59fb02,1428,0.79,930.142,1.944,1808.58,0.2592,0.2463,0.3624,0.6376,0.0862,3,warm
