date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads
2025-04-17,17:22:59,whisper-tiny_en-ubuntu_harvard_gpu_complex-gpu1,43,1.79,18.356,1.307,24,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,17:23:05,whisper-tiny_en-ubuntu_harvard_gpu_fast-gpu0,43,1.43,18.356,1.634,30,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,17:23:18,whisper-tiny_en-ubuntu_harvard_cpu_fast,43,1.00,18.356,2.343,43,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,17:23:24,whisper-tiny_en-ubuntu_harvard_cpu_complex,43,0.88,18.356,2.669,49,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,17:23:45,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1422,20.03,930.142,0.076,71,0.2164,0.2063,0.3060,0.6940,0.0761,0
2025-04-17,17:24:07,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2230,24.24,1107.122,0.083,92,0.1705,0.1678,0.2561,0.7439,0.0441,0
2025-04-17,17:24:26,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1475,13.05,930.142,0.121,113,0.5980,0.5625,0.7330,0.2670,0.1565,0
2025-04-17,17:24:39,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2216,17.59,1107.122,0.114,126,0.1654,0.1628,0.2565,0.7435,0.0428,0
2025-04-17,17:36:26,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1444,1.73,930.142,0.896,833,0.2660,0.2511,0.3667,0.6333,0.0977,4
2025-04-17,17:39:52,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2234,2.15,1107.122,0.938,1039,0.2005,0.1961,0.3044,0.6956,0.0446,4
2025-04-17,17:40:56,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1460,1.32,930.142,1.186,1103,0.2547,0.2371,0.3321,0.6679,0.1052,4
2025-04-17,17:43:08,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2207,1.79,1107.122,1.116,1235,0.1885,0.1859,0.2904,0.7096,0.0350,4
2025-04-17,17:43:48,whisper-base_en-ubuntu_harvard_gpu_complex-gpu1,,NA,18.356,2.070,38,NA,NA,NA,NA,NA,0
2025-04-17,17:43:50,whisper-base_en-ubuntu_harvard_gpu_fast-gpu0,43,1.19,18.356,1.961,36,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,17:43:58,whisper-base_en-ubuntu_harvard_cpu_fast,43,0.93,18.356,2.506,46,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,17:44:07,whisper-base_en-ubuntu_harvard_cpu_complex,43,0.77,18.356,3.051,56,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,17:44:30,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1427,18.06,930.142,0.085,79,0.2194,0.2086,0.3081,0.6919,0.0795,0
2025-04-17,17:44:57,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1440,13.85,930.142,0.112,104,0.2352,0.2210,0.3224,0.6776,0.0911,0
2025-04-17,17:44:58,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2235,21.29,1107.122,0.095,105,0.1839,0.1797,0.2785,0.7215,0.0468,0
2025-04-17,17:45:24,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2216,16.41,1107.122,0.122,135,0.1654,0.1628,0.2565,0.7435,0.0428,0
2025-04-17,17:57:08,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1436,1.72,930.142,0.900,837,0.2630,0.2489,0.3648,0.6352,0.0919,4
2025-04-17,18:00:13,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2226,2.18,1107.122,0.923,1022,0.2000,0.1951,0.2976,0.7024,0.0559,4
2025-04-17,18:03:14,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1463,1.22,930.142,1.293,1203,0.2299,0.2129,0.3016,0.6984,0.1040,4
2025-04-17,18:04:32,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2217,1.73,1107.122,1.157,1281,0.1889,0.1864,0.2911,0.7089,0.0369,4
2025-04-17,18:05:11,whisper-small_en-ubuntu_harvard_gpu_fast-gpu0,,NA,18.356,1.961,36,NA,NA,NA,NA,NA,0
2025-04-17,18:05:14,whisper-small_en-ubuntu_harvard_gpu_complex-gpu1,43,1.16,18.356,2.016,37,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,18:05:28,whisper-small_en-ubuntu_harvard_cpu_fast,43,0.81,18.356,2.887,53,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:05:33,whisper-small_en-ubuntu_harvard_cpu_complex,43,0.80,18.356,2.942,54,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:05:58,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1423,17.35,930.142,0.088,82,0.2171,0.2069,0.3065,0.6935,0.0768,0
2025-04-17,18:06:08,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2238,24.59,1107.122,0.082,91,0.2613,0.2554,0.4027,0.5973,0.0652,0
2025-04-17,18:06:26,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1423,12.82,930.142,0.119,111,0.3088,0.2970,0.4198,0.5802,0.0859,0
2025-04-17,18:06:48,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2216,17.05,1107.122,0.117,130,0.1654,0.1628,0.2565,0.7435,0.0428,0
2025-04-17,18:18:36,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1433,1.70,930.142,0.905,842,0.2607,0.2473,0.3634,0.6366,0.0901,4
2025-04-17,18:21:04,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1425,1.44,930.142,1.064,990,0.4035,0.3872,0.5357,0.4643,0.0977,4
2025-04-17,18:22:31,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2244,2.08,1107.122,0.974,1078,0.3479,0.3412,0.4811,0.5189,0.0693,4
2025-04-17,18:25:26,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2207,1.76,1107.122,1.132,1253,0.1885,0.1860,0.2908,0.7092,0.0345,4
2025-04-17,18:26:03,whisper-medium_en-ubuntu_harvard_gpu_complex-gpu1,,NA,18.356,1.961,36,NA,NA,NA,NA,NA,0
2025-04-17,18:26:06,whisper-medium_en-ubuntu_harvard_gpu_fast-gpu0,43,1.23,18.356,1.907,35,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,18:26:18,whisper-medium_en-ubuntu_harvard_cpu_fast,43,0.88,18.356,2.669,49,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:26:23,whisper-medium_en-ubuntu_harvard_cpu_complex,43,0.80,18.356,2.942,54,0.0000,0.0000,0.0000,1.0000,0.0000,4
