date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads,start_type
2025-04-25,04:36:44,whisper-tiny_en-ubi9-minimal_harvard_cpu_basic_cold,43,0.73,18.356,3.192,58.5925,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-25,04:37:04,whisper-tiny_en-ubi9-minimal_harvard_cpu_basic_warm,43,2.16,18.356,1.083,19.8726,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-25,04:37:26,whisper-tiny_en-ubi9-minimal_harvard_cpu_hyperparam_cold,43,2.09,18.356,1.123,20.6142,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-25,04:37:46,whisper-tiny_en-ubi9-minimal_harvard_cpu_hyperparam_warm,43,2.15,18.356,1.088,19.9787,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-25,04:37:58,whisper-tiny_en-ubi9-minimal_harvard_gpu_basic_cold,43,3.68,18.356,0.637,11.6843,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-25,04:38:08,whisper-tiny_en-ubi9-minimal_harvard_gpu_basic_warm,43,4.53,18.356,0.518,9.50059,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-25,04:38:19,whisper-tiny_en-ubi9-minimal_harvard_gpu_hyperparam_cold,43,4.52,18.356,0.518,9.51544,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-25,04:38:29,whisper-tiny_en-ubi9-minimal_harvard_gpu_hyperparam_warm,43,4.52,18.356,0.518,9.51675,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-25,04:49:37,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_cpu_basic_cold,1430,2.14,930.142,0.717,667.325,0.2600,0.2466,0.3622,0.6378,0.0884,4,cold
2025-04-25,05:00:45,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_cpu_basic_warm,1439,2.16,930.142,0.718,667.38,0.2652,0.2505,0.3662,0.6338,0.0945,4,warm
2025-04-25,05:11:59,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_cpu_hyperparam_cold,1428,2.12,930.142,0.724,673.811,0.2592,0.2463,0.3624,0.6376,0.0862,4,cold
2025-04-25,05:23:11,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_cpu_hyperparam_warm,1439,2.14,930.142,0.722,671.185,0.2637,0.2495,0.3653,0.6347,0.0941,4,warm
2025-04-25,05:23:59,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_gpu_basic_cold,1446,30.39,930.142,0.051,47.5833,0.2419,0.2277,0.3309,0.6691,0.0950,4,cold
2025-04-25,05:24:43,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_gpu_basic_warm,1435,32.99,930.142,0.047,43.4977,0.2367,0.2239,0.3274,0.6726,0.0878,4,warm
2025-04-25,05:25:29,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_cold,1434,31.72,930.142,0.049,45.2147,0.2359,0.2233,0.3269,0.6731,0.0872,4,cold
2025-04-25,05:26:15,whisper-tiny_en-ubi9-minimal_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_warm,1431,31.60,930.142,0.049,45.2881,0.2344,0.2222,0.3259,0.6741,0.0850,4,warm
2025-04-25,05:39:02,whisper-tiny_en-ubi9-minimal_jfk-audio-rice-university-12-september-1962_cpu_basic_cold,2229,2.91,1107.122,0.692,766.366,0.1756,0.1730,0.2636,0.7364,0.0412,4,cold
2025-04-25,05:53:31,whisper-tiny_en-ubi9-minimal_jfk-audio-rice-university-12-september-1962_cpu_basic_warm,2210,2.54,1107.122,0.785,868.745,0.1705,0.1695,0.2607,0.7393,0.0405,4,warm
2025-04-25,06:05:56,whisper-tiny_en-ubi9-minimal_jfk-audio-rice-university-12-september-1962_cpu_hyperparam_cold,2215,2.97,1107.122,0.673,744.647,0.1871,0.1840,0.2870,0.7130,0.0369,4,cold
2025-04-25,06:19:46,whisper-tiny_en-ubi9-minimal_jfk-audio-rice-university-12-september-1962_cpu_hyperparam_warm,2239,2.70,1107.122,0.749,829.158,0.5502,0.5472,0.7220,0.2780,0.1003,4,warm
2025-04-25,06:20:47,whisper-tiny_en-ubi9-minimal_jfk-audio-rice-university-12-september-1962_gpu_basic_cold,2219,36.45,1107.122,0.055,60.879,0.2111,0.2071,0.3217,0.6783,0.0527,4,cold
