date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads,start_type
2025-04-24,15:41:19,whisper-tiny_en-ubuntu_harvard_cpu_basic_cold,43,0.51,18.356,4.576,84.0018,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-24,15:41:40,whisper-tiny_en-ubuntu_harvard_cpu_basic_warm,43,2.09,18.356,1.118,20.5264,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-24,15:42:01,whisper-tiny_en-ubuntu_harvard_cpu_hyperparam_cold,43,2.12,18.356,1.106,20.3035,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-24,15:42:22,whisper-tiny_en-ubuntu_harvard_cpu_hyperparam_warm,43,2.14,18.356,1.094,20.0876,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-24,15:42:32,whisper-tiny_en-ubuntu_harvard_gpu_basic_cold,43,4.62,18.356,0.507,9.31003,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-24,15:42:42,whisper-tiny_en-ubuntu_harvard_gpu_basic_warm,43,4.55,18.356,0.514,9.44193,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-24,15:42:51,whisper-tiny_en-ubuntu_harvard_gpu_hyperparam_cold,43,4.64,18.356,0.505,9.26168,0.0000,0.0000,0.0000,1.0000,0.0000,4,cold
2025-04-24,15:43:01,whisper-tiny_en-ubuntu_harvard_gpu_hyperparam_warm,43,4.66,18.356,0.502,9.22035,0.0000,0.0000,0.0000,1.0000,0.0000,4,warm
2025-04-24,15:54:17,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_basic_cold,1440,2.13,930.142,0.726,674.933,0.2675,0.2521,0.3677,0.6323,0.0936,4,cold
2025-04-24,16:05:20,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_basic_warm,1469,2.22,930.142,0.712,662.568,0.2870,0.2656,0.3799,0.6201,0.1117,4,warm
2025-04-24,16:16:39,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_hyperparam_cold,1454,2.14,930.142,0.729,678.066,0.2757,0.2579,0.3729,0.6271,0.1054,4,cold
2025-04-24,16:27:56,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_hyperparam_warm,1430,2.11,930.142,0.728,677.101,0.2600,0.2468,0.3629,0.6371,0.0876,4,warm
2025-04-24,16:28:42,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_basic_cold,1433,31.54,930.142,0.049,45.4382,0.2509,0.2376,0.3454,0.6546,0.0874,4,cold
2025-04-24,16:29:27,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_basic_warm,1426,32.05,930.142,0.048,44.4952,0.2472,0.2348,0.3429,0.6571,0.0825,4,warm
2025-04-24,16:30:11,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_cold,1426,32.90,930.142,0.047,43.3427,0.2464,0.2343,0.3424,0.6576,0.0826,4,cold
2025-04-24,16:30:58,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_hyperparam_warm,1426,30.96,930.142,0.050,46.0655,0.2464,0.2343,0.3424,0.6576,0.0826,4,warm
2025-04-24,16:46:25,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_basic_cold,2217,2.39,1107.122,0.837,926.803,0.1691,0.1677,0.2567,0.7433,0.0414,4,cold
