date,timestamp,container name,processor/gpu name,core/gpu count,max usage (%),max gpu temperature (C),max pwr:usage/cap (%),max vram usage (%),startup time (s),task time (s),shutdown time (s),total time (s),cpu usage (%),memory usage (MB)
2025-04-18,19:29:12,whisper-tiny_en-ubuntu_harvard_gpu_complex-gpu1,NVIDIA L4,24,0,39,22.58,0.0,1.1920928955078125e-06,0,0.06138944625854492,0.06138944625854492,97.9,4596.52
2025-04-18,19:29:13,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,NVIDIA L4,24,0,39,22.68,0.01,7.152557373046875e-07,0,0.10599279403686523,0.10599279403686523,20.4,5087.14
2025-04-18,19:29:13,whisper-tiny_en-ubuntu_harvard_gpu_fast-gpu0,NVIDIA L4,24,0,39,22.65,0.01,1.1920928955078125e-06,0,0.05787539482116699,0.05787539482116699,20.3,5748.32
2025-04-18,19:29:13,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,NVIDIA L4,24,0,39,22.62,0.01,9.5367431640625e-07,0,0.056939125061035156,0.056939125061035156,17.6,6782.18
2025-04-18,19:29:14,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,NVIDIA L4,24,0,39,22.62,0.01,9.5367431640625e-07,0,0.06058692932128906,0.06058692932128906,20.2,7806.44
2025-04-18,19:29:14,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,NVIDIA L4,24,0,39,22.62,0.01,1.1920928955078125e-06,0,0.06142997741699219,0.06142997741699219,24.7,8977.7
2025-04-18,19:29:14,whisper-tiny_en-ubuntu_harvard_cpu_fast,NVIDIA L4,24,0,39,22.62,0.01,7.152557373046875e-07,0,0.058760643005371094,0.058760643005371094,24.3,9996.31
2025-04-18,19:29:15,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,NVIDIA L4,24,0,39,22.65,0.01,4.76837158203125e-07,0,0.058367013931274414,0.058367013931274414,21.1,11063.94
2025-04-18,19:29:15,whisper-tiny_en-ubuntu_harvard_cpu_complex,NVIDIA L4,24,0,39,22.65,0.01,1.1920928955078125e-06,0,0.05947303771972656,0.05947303771972656,21.9,11926.92
2025-04-18,19:29:15,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,NVIDIA L4,24,0,39,22.65,0.01,7.152557373046875e-07,0,0.05810141563415527,0.05810141563415527,22.9,12821.32
2025-04-18,19:29:16,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,NVIDIA L4,24,0,39,22.65,0.01,9.5367431640625e-07,0,0.05892133712768555,0.05892133712768555,21.6,13771.63
2025-04-18,19:29:16,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,NVIDIA L4,24,0,39,22.65,0.01,1.430511474609375e-06,0,0.058035850524902344,0.058035850524902344,22.9,14335.94
2025-04-18,19:48:56,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,NVIDIA L4,24,0,44,27.01,0.0,1.9073486328125e-06,0,0.08849191665649414,0.08849191665649414,77.5,4439.46
2025-04-18,19:48:56,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,NVIDIA L4,24,0,44,27.01,0.0,7.152557373046875e-07,0,0.06274271011352539,0.06274271011352539,29.2,4829.05
2025-04-18,19:48:56,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,NVIDIA L4,24,0,44,31.1,0.0,7.152557373046875e-07,0,0.09828925132751465,0.09828925132751465,16.9,5257.66
2025-04-18,19:48:57,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,NVIDIA L4,24,0,45,31.1,0.0,9.5367431640625e-07,0,0.17131853103637695,0.17131853103637695,16.4,6265.94
